Function of Space,Occupant Load Factora
"Accessory storage areas, mechanical equipment room",300 gross
Agricultural building,300 gross
Aircraft hangars,500 gross
Airport terminal,
Baggage claim,20 gross
Baggage handling,300 gross
Concourse,100 gross
Waiting areas,15 gross
Assembly,
"Gaming floors (keno, slots, etc.)",11 gross
Exhibit Gallery and Museum,30 net
Assembly with fixed seats,See Section 1004.5
Assembly without fixed seats,
Concentrated,7 net
Standing space,7 net
Unconcentrated (tables and chairs),15 net
"Bowling centers, allow 5 persons for each lane including 15 feet of runway, and for additional
areas",7 net
Business areas,150 gross
Courtroomsâ€”other than fixed seating areas,40 net
Day care,35 net
Dormitories,50 gross
Educational,
Classroom area,20 net
Shops and other vocational room areas,50 net
Exercise rooms,50 gross
